indicator_id,name_ja,unit,definition,default_source
employees_consolidated,連結従業員数,人,有報「主要な経営指標等の推移」の連結従業員数（期末の就業人員・臨時雇用者は除く）,有価証券報告書
employees_parent,提出会社の従業員数,人,有報「従業員の状況」の提出会社の従業員数（期末）,有価証券報告書
dev_staff,開発職の人数（連結）,人,会社が有報や統合報告書で示す開発職・研究開発要員の人数（期末）,有価証券報告書
avg_salary_parent,平均年間給与（提出会社）,円,有報「従業員の状況」の平均年間給与（賞与・基準外賃金を含む・税込）。持株会社は管理部門だけの値なので note に明記,有価証券報告書
op_profit_per_employee,従業員1人当たり営業利益（連結）,円,会社の公表値（営業利益÷連結従業員数）,有価証券報告書
turnover_rate,離職率（提出会社）,%,会社の公表値,有価証券報告書
new_grad_hires,新卒採用数（提出会社）,人,会社の公表値（その年度の入社人数）,有価証券報告書
rd_expense,研究開発費（連結・年額）,円,有報の注記「一般管理費及び当期製造費用に含まれる研究開発費」,有価証券報告書
game_wip,ゲームの仕掛品残高（連結・期末）,円,貸借対照表の「ゲームソフト仕掛品」「コンテンツ制作勘定」など＝作りかけのゲームを資産として積んだ残高。1〜3年先の発売の弾込み,有価証券報告書
foreign_ownership_pct,外国法人等の株式保有比率,%,有報「所有者別状況」の外国法人等（個人以外＋個人）の所有株式数の割合（単元ベース・期末）,有価証券報告書
overseas_sales_pct,海外売上高比率,%,決算説明資料などの会社の公表値（年度）,決算説明資料
digital_sales_pct,デジタル売上高比率,%,家庭用ソフトの売上に占めるダウンロード等の割合。会社の公表値か計算値（計算なら note に式）,決算説明資料
starting_salary_univ_monthly,大卒初任給（月額）,円,募集要項やリリースの大卒初任給。period_end は適用開始の4月1日。固定残業代の有無は note,募集要項
market_size_world_jpy,世界ゲームコンテンツ市場規模（年・円建て）,円,推計元と為替の扱いを note に。定義の違う推計（CESA・角川アスキー総研・Newzoo）はつながない,ファミ通ゲーム白書／CESA
market_growth_world_jpy_pct,世界市場の前年比（円建て）,%,前年比,ファミ通ゲーム白書
market_growth_world_const_currency_pct,世界市場の前年比（同一通貨）,%,為替の影響を除いた前年比,ファミ通ゲーム白書
market_size_japan_jpy,国内ゲームコンテンツ市場規模（年・円建て）,円,推計元を note に,ファミ通ゲーム白書
app_market_japan_jpy,国内ゲームアプリ市場規模（年・円建て）,円,推計元を note に,ファミ通ゲーム白書
game_population_japan,国内ゲーム人口（年）,人,CESA の推計,CESA ゲーム産業レポート
dev_avg_income,ゲーム開発者の平均年収（個人・年）,円,CESA 開発者調査の平均（回答者数を note に）,CESA 開発者調査
dev_weekly_hours_normal,開発者の週の労働時間（通常期）,時間,CESA 開発者調査,CESA 開発者調査
dev_weekly_hours_busy,開発者の週の労働時間（繁忙期）,時間,CESA 開発者調査（「超」は note に）,CESA 開発者調査
bankruptcies_smartphone_game,スマホゲーム事業者の倒産件数,件,帝国データバンクの集計。期間（年間か1〜7月か）を note に,帝国データバンク
population_japan,日本の総人口,人,総務省 人口推計（概算値か確定値かを note に）,総務省統計局
game_dev_spend,ゲームコンテンツの開発支出（連結・年額）,円,会社が有報で開示する新規ゲームコンテンツの開発等に係る支出額（資産計上分を含む・研究開発費とは別枠）,有価証券報告書
net_sales_consolidated,売上高（連結・年額）,円,有報「主要な経営指標等の推移」の売上高（IFRS の会社は売上収益）,有価証券報告書
operating_income_consolidated,営業利益（連結・年額）,円,連結損益計算書の営業利益（IFRS の会社は営業利益に相当する項目）,有価証券報告書
work_in_process_consolidated,仕掛品残高（連結・全社・期末）,円,連結貸借対照表の「仕掛品」。ゲーム以外（玩具・機器など）も含む全社の値。会社ごとの定義は game_wip を見る,有価証券報告書
